name,asin,category,size_tier,weight_oz,cogs,target_margin,inbound_shipping,notes
"7ft Pure Lead 3/8"" SQ",B096VXKQT7,home,,,19.8625,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: CJ-9A5Z-WET2."
"BasicGear Cast Net | Lead, 8ft Radius, 3/8 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B096VY27CV,home,ls,136.0,25.0688,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: JD-GZ09-W6Y3. Verify target margin.
"BasicGear Cast Net | Lead, 10ft Radius, 3/8 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B0BFD31P7B,home,lb,187.4,33.1,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL3110. Verify target margin.
"BasicGear Cast Net | Lead, 12ft Radius, 3/8 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B0BFD4PZQP,home,lb,224.3,39.075,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL3112. Verify target margin.
"BasicGear Cast Net | Zinc Iron, 3ft Radius, 1/4 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B09VRVXZSR,home,ls,53.0,8.275,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTZ2103. Verify target margin.
"BasicGear Cast Net | Zinc Iron, 4ft Radius, 1/4 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B09VR9Q1CN,home,ls,64.0,10.2594,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTZ2104. Verify target margin.
"BasicGear Cast Net | Zinc Iron, 5ft Radius, 1/4 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B09VRVDJR3,home,ls,73.4,12.4844,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTZ2105. Verify target margin.
"BasicGear Cast Net | Zinc Iron, 6ft Radius, 1/4 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B09VRKS9HM,home,ls,91.4,14.825,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTZ2106. Verify target margin.
"7ft Zinc Iron 1/4"" SQ",B09VS2HFCQ,home,,,16.575,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ2107."
"8ft Zinc Iron 1/4"" SQ",B09VRVBX9N,home,,,20.6375,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ2108."
"10ft Zinc Iron 1/4"" SQ",B0BFD5L7QD,home,,,29.2,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ2110."
"BasicGear Cast Net | Zinc Iron, 12ft Radius, 1/4 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B0BFD48Z3F,home,lb,203.5,33.925,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTZ2112. Verify target margin.
"BasicGear Cast Net | Lead, 3ft Radius, 1/4 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B09VRVDGQH,home,ls,55.8,10.45,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL2103. Verify target margin.
"BasicGear Cast Net | Lead, 4ft Radius, 1/4 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B09VRT9ZJN,home,ls,73.4,13.2,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL2104. Verify target margin.
"BasicGear Cast Net | Lead, 5ft Radius, 1/4 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B09VRVC53V,home,ls,83.0,16.2625,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL2105. Verify target margin.
"BasicGear Cast Net | Lead, 6ft Radius, 1/4 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B09VRPYGXC,home,ls,96.0,19.475,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL2106. Verify target margin.
"7ft Pure Lead 1/4"" SQ",B09VRVY4DD,home,,,21.6625,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTL2107."
"BasicGear Cast Net | Lead, 8ft Radius, 1/4 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B09VS4DHT4,home,ls,138.2,26.7188,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL2108. Verify target margin.
"10ft Pure Lead 1/4"" SQ",B0BFD2RBRS,home,,,35.4,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTL2110."
"12ft Pure Lead 1/4"" SQ",B0BFD1Z55S,home,,,42.075,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTL2112."
"BasicGear Cast Net for Bait Trap Fish, Protected Weights, 3ft Radius with 3/8 inch Mesh for Freshwater and Saltwater, Professional Grade and Upgraded Material, Throw Style",B0CJPBGPP9,home,lb,63.2,8.675,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTP3103. Verify target margin.
"BasicGear Cast Net for Bait Trap Fish, Protected Weights, 4ft Radius with 3/8 inch Mesh for Freshwater and Saltwater, Professional Grade and Upgraded Material, Throw Style",B0B3ZKYNVT,home,ls,68.8,10.775,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTP3104. Verify target margin.
"BasicGear Cast Net for Bait Trap Fish, Protected Weights, 5ft Radius with 3/8 inch Mesh for Freshwater and Saltwater, Professional Grade and Upgraded Material, Throw Style",B0CJP6B37Y,home,lb,90.2,12.825,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTP3105. Verify target margin.
"BasicGear Cast Net for Bait Trap Fish, Protected Weights, 6ft Radius with 3/8 inch Mesh for Freshwater and Saltwater, Professional Grade and Upgraded Material, Throw Style",B0B3ZCYYSH,home,lb,106.2,15.3187,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTP3106. Verify target margin.
"BasicGear Cast Net for Bait Trap Fish, Protected Weights, 8ft Radius with 3/8 inch Mesh for Freshwater and Saltwater, Professional Grade and Upgraded Material, Throw Style",B0B3ZR9FFM,home,lb,154.6,21.4375,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTP3108. Verify target margin.
"10ft Protected Weights 3/8"" SQ",B0B3ZJGT3V,home,,,28.7,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTP31010."
"BasicGear Cast Net for Bait Trap Fish, Protected Weights, 12ft Radius with 3/8 inch Mesh for Freshwater and Saltwater, Professional Grade and Upgraded Material, Throw Style",B0B3ZH667F,home,lb,215.8,33.775,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTP31012. Verify target margin.
"BasicGear Cast Net for Bait Trap Fish, Protected Weights, 3ft Radius with 1/4 inch Mesh for Freshwater and Saltwater, Professional Grade and Upgraded Material, Throw Style",B0CJP8Z4M7,home,ls,64.8,9.275,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTP2103N. Verify target margin.
"BasicGear Cast Net for Bait Trap Fish, Protected Weights, 4ft Radius with 1/4 inch Mesh for Freshwater and Saltwater, Professional Grade and Upgraded Material, Throw Style",B0CJQNQ3G5,home,ls,77.0,11.675,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTP2104N. Verify target margin.
"BasicGear Cast Net for Bait Trap Fish, Protected Weights, 5ft Radius with 1/4 inch Mesh for Freshwater and Saltwater, Professional Grade and Upgraded Material, Throw Style",B0CJP99PZ2,home,ls,92.0,14.4125,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTP2105N. Verify target margin.
"BasicGear Cast Net for Bait Trap Fish, Protected Weights, 6ft Radius with 1/4 inch Mesh for Freshwater and Saltwater, Professional Grade and Upgraded Material, Throw Style",B0CJQNLXNP,home,lb,107.5,17.1187,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTP2106N. Verify target margin.
"BasicGear Cast Net for Bait Trap Fish, Protected Weights, 8ft Radius with 1/4 inch Mesh for Freshwater and Saltwater, Professional Grade and Upgraded Material, Throw Style",B0CJQN5L5B,home,lb,148.8,23.1875,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTP2108N. Verify target margin.
"10ft Protected Weights 1/4"" SQ",B0CJQNLHXK,home,,,31.1,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTP2110N."
"12ft Protected Weights 1/4"" SQ",B0CJQN1S36,home,,,36.775,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTP2112N."
BasicGear Standard Cast Net for Bait Trap Fish | Pure Lead | 4ft Radius with 3/8 inch Mesh 1LB Sinkers for Freshwater and Saltwater | Professional Grade and Upgraded Material | Throw Style,B0B3Z1QC9H,home,ls,98.4,15.4938,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL3104-1LB. Verify target margin.
BasicGear Standard Cast Net for Bait Trap Fish | Pure Lead | 6ft Radius with 3/8 inch Mesh 1LB Sinkers for Freshwater and Saltwater | Professional Grade and Upgraded Material | Throw Style,B0B3ZS8HSK,home,ls,135.2,22.8625,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL3106-1LB. Verify target margin.
BasicGear Standard Cast Net for Bait Trap Fish | Pure Lead | 8ft Radius with 3/8 inch Mesh 1LB Sinkers for Freshwater and Saltwater | Professional Grade and Upgraded Material | Throw Style,B0B3ZQYMW5,home,lb,188.8,30.3438,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL3108-1LB. Verify target margin.
BasicGear Standard Cast Net for Bait Trap Fish | Pure Lead | 10ft Radius with 3/8 inch Mesh 1LB Sinkers for Freshwater and Saltwater | Professional Grade and Upgraded Material | Throw Style,B0B3Z4QDQD,home,lb,232.0,38.05,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL31010-1LB. Verify target margin.
"12ft Pure Lead 3/8"" SQ 1LB",B0B3ZFPXYM,home,,,46.15,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTL31012-1LB."
BasicGear Cast Net for Bait Trap Fish | Pure Lead | 8ft Radius with 1/2 inch Mesh 1LB Sinkers for Freshwater and Saltwater | Professional Grade and Upgraded Material | Throw Style,B0C6JB2YYC,home,lb,186.2,27.2052,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL4108-1LB. Verify target margin.
"10ft Pure Lead 1/2"" SQ 1LB",B0C6J9K76D,home,,,36.9375,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTL4110-1LB."
"12ft Pure Lead 1/2"" SQ 1LB",B0C6JBKC1T,home,,,43.2875,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTL4112-1LB."
BasicGear Cast Net for Bait Trap Fish | Pure Lead | 8ft Radius with 1/4 inch Mesh 1LB Sinkers for Freshwater and Saltwater | Professional Grade and Upgraded Material | Throw Style,B0C6JBFJ62,home,lb,187.4,31.3052,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL2108-1LB. Verify target margin.
"10ft Pure Lead 1/4"" SQ 1LB",B0C6J9T9J3,home,,,42.4375,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTL2110-1LB."
"12ft Pure Lead 1/4"" SQ 1LB",B0C6JB4FHJ,home,,,50.655,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTL2112-1LB."
BasicGear Cast Net for Bait Trap Fish | Pure Lead | 8ft Radius with 3/16 inch Mesh 1LB Sinkers for Freshwater and Saltwater | Professional Grade and Upgraded Material | Throw Style,B0C6JBV4XV,home,lb,196.2,33.5052,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL316108-1LB. Verify target margin.
"10ft Pure Lead 3/16"" SQ 1LB",B0C6JDNZSL,home,,,46.3375,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTL316110-1LB."
"12ft Pure Lead 3/16"" SQ 1LB",B0C6JDX997,home,,,55.8875,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTL316112-1LB."
"4ft Zinc Iron 1/2"" SQ 1LB",B0BPQ49R6L,home,,,11.6937,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ4104."
"6ft Zinc Iron 1/2"" SQ 1LB",B0BJHXGSR4,home,,,16.1812,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ4106."
"8ft Zinc Iron 1/2"" SQ 1LB",B0BJHGTH57,home,,,22.6812,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ4108."
"10ft Zinc Iron 1/2"" SQ 1LB",B0BJHQP6KR,home,,,29.65,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ4110."
"12ft Zinc Iron 1/2"" SQ 1LB",B0BJHB1DG4,home,,,36.25,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ4112."
"14ft Zinc Iron 1/2"" SQ 1LB",B0BJJ2N319,home,,,45.0,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ4114."
"4ft Zinc Iron 3/8"" SQ EZ Multifilament",B0BFPMC5FP,home,,,9.8375,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ3104-EZ-M."
"4ft Zinc Iron 3/8"" SQ EZ",B0BFD4DZ8Y,home,,,9.8187,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ3104-EZ."
"6ft Zinc Iron 3/8"" SQ EZ",B0BFD4ZWP8,home,,,13.625,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ3106-EZ."
BasicGear Easy Throw Cast Net for Bait | 4ft Radius with 3/8 inch Mesh for Freshwater and Saltwater | Protective Shell Iron | Professional Grade and Upgraded Material | Throw Style,B0BFD4R1LX,home,ls,69.9,10.5188,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTP3104-EZ. Verify target margin.
"6ft Protected Weights 3/8"" SQ EZ",B0BFD5174T,home,,,15.025,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTP3106-EZ."
"4ft Pure Lead 1/4"" SQ EZ",B0BFD4FJPY,home,,,13.2188,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTL2104-EZ."
BasicGear Easy Throw Cast Net for Bait | 6ft Radius with 1/4 inch Mesh for Freshwater and Saltwater | Lead | Professional Grade and Upgraded Material | Throw Style,B0BFD525P4,home,ls,96.2,19.325,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRNTL2106-EZ. Verify target margin.
BasicGear Crab Trap Bait Lobster Crawfish Shrimp Portable Folded Cast Net Collapsible Fishing Traps Nets Fishing Accessories 30 * 60cm ?11.8in*23.6in,B0BJ8JGZTN,home,ls,41.6,3.5071,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRFT101. Verify target margin.
25cm*45cm  (9.84inx17.7in),B0BJ8J5YS5,home,,,2.355,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRFT102."
BasicGear Crab Trap Bait Lobster Crawfish Shrimp Portable Folded Cast Net Collapsible Fishing Traps Nets Fishing Accessories 45 * 20cm (17.71inx7.87in),B0BJ8KS7JL,home,lb,31.2,2.7225,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRCT101. Verify target margin.
BasicGear Crab Trap Bait Lobster Crawfish Shrimp Portable Folded Cast Net Collapsible Fishing Traps Nets Fishing Accessories 35 * 20cm (13.77inx7.87in),B0BJ8HZLSW,home,lb,25.4,2.9796,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRCT102. Verify target margin.
BasicGear Professional Seine Net 4' x 10' | Ultra Strong | Maximizes Catch | Ideal for Both Commercial and Recreational Fishing | Multiple,B0C4HX2V2V,home,ls,38.9,6.8745,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRSNT101. Verify target margin.
BasicGear Professional Seine Net 4' x 12' | Ultra Strong | Maximizes Catch | Ideal for Both Commercial and Recreational Fishing | Multiple,B0C4HX8CDP,home,ls,48.0,9.7089,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRSNT102. Verify target margin.
BasicGear Professional Seine Net 4' x 20' | Ultra Strong | Maximizes Catch | Ideal for Both Commercial and Recreational Fishing | Multiple,B0C4HX28K9,home,ls,76.2,13.4589,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: BSCGRSNT103. Verify target margin.
4' x 25',B0C4HW7SWG,home,,,19.8612,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRSNT104."
